version	table	code	scale	reference	width	unit	name	members
15	D	307092						301089 301090 008010 301091 004015 004065 125000 031001 010004 302070 302072 007032 012101 103000 031000 101005 307063 007061 101000 031000 302069 007032 007033 101000 031000 302073 101000 031000 302076 102000 031000 013055 013058 102000 031000 020031 020032 101000 031000 302078 102000 031000 302079 007032 101000 031000 302080 101000 031000 302081 101000 031000 302083 102000 031000 004025 013059 101000 031000 302083 033005 033006
15	D	307093						223000 236000 101000 031001 031031 001033 001032 008083 101000 031001 223255 108000 031001 223000 237000 001033 001032 008083 101000 031001 223255
15	D	308008						001003 001020 001005 002001 002036 002149 301011 301012 008021 301011 301012 008021 301021 027004 028004 007030 001051 002148 001012 001014 002040 033022 033023 033027 022063 302021 302022 302023 008081 025026 008081 025026 008081 025026 008081 002034 022060 007070 002190 025086 002035 002168 020031 002038 306004 002030 306005 007031 008081 012064 302001 008081 007032 007033 012101 012103 013003 007032 007033 008082 007033 002169 002002 008021 004025 011001 011002 008021 004025 011043 011041 008082 007033 007032 004024 013011 007032 008021 004024 014021 008021 025028 025028 025028
15	D	308012						004001 004001 004002 004003 004004 004074 004022 008023 010051 007032 007033 012101 013002 007032 007033 302056 008023 004001 004001 004002 004003 004004 004022 007032 008023 013060 004053 008023
15	D	308014						301093 302062 302063
15	D	309070						001035 001032 001015 001062 301001 301021 207001 010001 207000 301011 301012 008086 007030 025031 008021 004014 010004 010051 010009 020010 013095 128000 031002 113000 031000 008086 007004 011001 011002 012101 012102 012103 010009 103000 031000 011022 011021 011005 104000 031000 008086 007006 011001 011002 105000 031000 008086 007006 012101 012102 012103
15	D	311010						001008 001023 001006 001110 001111 001112 204002 031021 301011 301013 301021 007004 010053 008009 011001 011002 002064 011100 011101 011102 011103 011104 012101 013002 013003 101000 031000 012103 033026 101000 031000 020042 103000 031000 020043 020044 020045 101000 031000 033025 103000 031001 011075 011076 011039 102000 031000 011037 011077 103000 031000 011034 011035 011036 204000 118000 031001 301021 007007 301013 011105 204007 031021 011076 011075 204000 011106 011107 011108 011109 012101 011001 201130 011084 201000
15	D	312060						025060 025062 040001 040002 021062 021151 021152 021153 021154 021062 021062 040003 040004 040005 040006 040007 020065 040008 040009 040010
15	D	315006						001011 301011 301012 301023 306032
15	D	316020						001023 001025 001027 301011 301012
15	D	340005						001007 002019 001096 025061 005044 005040 001030 301011 301012 004007 005001 006001 008029 008074 008077 040011 025097 025095 025098 025099 021144 025096 040012 040013 021169 022151 022162 022163 025160 025133 022156 022164 022165 022166 021137 021138 022167 021139 021118 021145 021146 021147 022168 022169 022170 025161 025162 022171 022172 022173 022174 021170 021171 022175 021172 021118 021173 021174 021175 102003 002153 012063 013090 013091 007002 011097 011098 007002 011095 011096 010096 010081 010082 010083 010101 025132 025163 025126 025128 025164 010085 010097 010086 010087 010092 010088 010089 010098 010099 010090 010100 010093 025127 040014
15	D	340008						001007 001031 002019 002020 004001 004002 004003 004004 004005 202131 201138 004006 201000 202000 005001 006001 007024 005021 007025 005022 005043 005040 201133 005041 201000 201132 025070 201000 202126 007001 202000 103003 025140 025141 033060 033061 033062 033063 033064 033065 040020 101010 340002 104000 031002 201136 005042 201000 014046 108003 025140 025141 040015 040016 025062 101000 031002 040017 002019 025051 101007 340004 020081 008029 020083 008029 040018 040019 040021 040022
15	D	340010						001007 002019 001096 025061 005044 005040 001030 301011 301012 004007 301021 008029 008074 008077 040011 025097 025095 025098 025099 021144 025096 040012 040013 021169 040023 040024 040025 022151 022162 022163 025160 025133 022156 022164 022165 022166 021137 021138 022167 021139 021118 021145 021146 021147 022168 022169 022170 025161 025162 022171 022172 022173 022174 021170 021171 022175 021172 021118 021173 021174 021175 102003 002153 012063 013090 013091 007002 011097 011098 007002 011095 011096 010096 010081 010082 010083 010101 025132 025163 025126 025128 025164 010085 010097 010086 010087 010092 010088 010089 010098 010099 010090 010100 010093 025127 040014 010102
